2025-09-16 15:19:33,859 [ 1] INFO  Unity: DataManager > DataManager()
2025-09-16 15:19:51,424 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:19:55,266 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:19:55,267 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:19:55,406 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:19:55,406 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:19:55,873 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:19:55,874 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:19:55,946 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:19:55,947 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:19:58,812 [ 1] INFO  Unity: 发送邀请好友请求
2025-09-16 15:19:58,844 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:19:58,845 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:04,866 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:04,867 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:05,082 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:05,083 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:05,564 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:05,565 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:05,648 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:05,648 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:05,838 [ 1] INFO  Unity: 10离开了地图
2025-09-16 15:20:05,839 [ 1] INFO  Unity: 移除角色ID：10
2025-09-16 15:20:05,841 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:05,842 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:05,843 [ 1] INFO  Unity: 消失的玩家：10,位置(3975, 2725, 804)
2025-09-16 15:20:07,171 [ 1] INFO  Unity: 进入了地图:1,当前角色数量:1
2025-09-16 15:20:07,172 [ 1] INFO  Unity: 加入角色姓名:A,地图:1
2025-09-16 15:20:07,176 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:07,190 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:07,190 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:07,267 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:07,268 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:07,304 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:07,305 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:07,330 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:07,331 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:07,424 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:07,425 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:07,449 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:07,450 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:07,495 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:07,496 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:07,540 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:07,541 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:07,542 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:07,544 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:07,555 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:07,556 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:07,567 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:07,569 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:08,206 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:08,206 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:08,263 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:08,264 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:08,320 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:08,321 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:08,519 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:08,520 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:09,108 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:09,109 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:09,222 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:09,223 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:09,247 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:09,248 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:09,282 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:09,283 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:09,332 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:09,333 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:09,518 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:09,519 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:10,308 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:10,309 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:10,346 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:10,347 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:10,396 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:10,397 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:11,744 [ 1] INFO  Unity: 发送邀请好友请求
2025-09-16 15:20:13,678 [ 1] INFO  Unity: 发送邀请好友请求
2025-09-16 15:20:14,807 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:14,808 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:14,882 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:14,883 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:18,376 [ 1] INFO  Unity: 收到组队更新响应
2025-09-16 15:20:18,378 [ 1] ERROR UserService: Message handler exception:, Object reference not set to an instance of an object, Assembly-CSharp,   at UIMain.ShowTeamUI (Boolean show) [0x00008] in E:\Unity_code\mmorpg\mmorpg\Src\Client\Assets\Scripts\UI\UIMain.cs:51 
  at Managers.TeamManager.ShowTeamUI (Boolean show) [0x00018] in E:\Unity_code\mmorpg\mmorpg\Src\Client\Assets\Scripts\Managers\TeamManager.cs:27 
  at Managers.TeamManager.UpdateTeamInfo (SkillBridge.Message.NTeamInfo team) [0x00014] in E:\Unity_code\mmorpg\mmorpg\Src\Client\Assets\Scripts\Managers\TeamManager.cs:20 
  at Services.TeamService.OnTeamInfo (System.Object sender, SkillBridge.Message.TeamInfoResponse response) [0x0001c] in E:\Unity_code\mmorpg\mmorpg\Src\Client\Assets\Scripts\Services\TeamService.cs:91 
  at Network.MessageDistributer`1[System.Object].RaiseEvent[TeamInfoResponse] (System.Object sender, SkillBridge.Message.TeamInfoResponse msg) [0x00000] in <filename unknown>:0 
2025-09-16 15:20:18,379 [ 1] FATAL Unity: <log4net.Error>Exception during StringFormat: Input string was not in a correct format. <format>{0
{1}</format><args>{NullReferenceException: Object reference not set to an instance of an object, UIMain.ShowTeamUI (Boolean show) (at Assets/Scripts/UI/UIMain.cs:51)
Managers.TeamManager.ShowTeamUI (Boolean show) (at Assets/Scripts/Managers/TeamManager.cs:27)
Managers.TeamManager.UpdateTeamInfo (SkillBridge.Message.NTeamInfo team) (at Assets/Scripts/Managers/TeamManager.cs:20)
Services.TeamService.OnTeamInfo (System.Object sender, SkillBridge.Message.TeamInfoResponse response) (at Assets/Scripts/Services/TeamService.cs:91)
Network.MessageDistributer`1[System.Object].RaiseEvent[TeamInfoResponse] (System.Object sender, SkillBridge.Message.TeamInfoResponse msg)
}</args></log4net.Error>
2025-09-16 15:20:18,858 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:18,858 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:18,906 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:18,907 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:18,942 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:18,943 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:19,027 [ 1] INFO  Unity: OnGuild,[Success][1][Alice]
2025-09-16 15:20:19,028 [ 1] INFO  Unity: 收到聊天响应,Success
2025-09-16 15:20:59,510 [ 1] INFO  Unity: 网络断开
2025-09-16 15:20:59,512 [ 1] WARN  Unity: CloseConnection(), errorCode: 1007
UnityEngine.Debug:LogWarning(Object)
Network.NetClient:CloseConnection(Int32) (at Assets/Scripts/Network/NetClient.cs:178)
Network.NetClient:OnDestroy() (at Assets/Scripts/Network/NetClient.cs:173)

2025-09-16 15:20:59,514 [ 1] INFO  Unity: 消失的玩家：11,位置(4150, 3000, 804)
2025-09-16 15:20:59,515 [ 1] INFO  Unity: 消失的玩家：12,位置(4150, 3000, 804)
